show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Gray Man,Rawson Marshall Thurber,"Henry Cavill, Pedro Pascal",Germany,June 27 2020,2017,PG,135 min,Dramas,Sample Netflix content description for practice dataset.
s2,Movie,Extraction,Gina Prince-Bythewood,"Emma Stone, Ralph Macchio",United Kingdom,October 17 2018,2015,TV-14,110 min,International TV Shows,Sample Netflix content description for practice dataset.
s3,TV Show,Dark,,"Emma Stone, Ralph Macchio",Spain,October 21 2017,2021,TV-MA,5 Seasons,Comedies,Sample Netflix content description for practice dataset.
s4,TV Show,Wednesday,,"Ralph Macchio, Robert De Niro",South Africa,September 01 2021,2019,PG,4 Seasons,Action,Sample Netflix content description for practice dataset.
s5,TV Show,Narcos,,"Henry Cavill, Melissa McCarthy",South Africa,March 08 2019,2021,R,4 Seasons,Action & Adventure,Sample Netflix content description for practice dataset.
s6,TV Show,Stranger Things,,"Chris Hemsworth, Melissa McCarthy",Spain,March 19 2018,2023,R,4 Seasons,Action,Sample Netflix content description for practice dataset.
s7,Movie,Bird Box,Gina Prince-Bythewood,"Henry Cavill, Emma Stone",India,August 03 2021,2015,PG-13,101 min,Action & Adventure,Sample Netflix content description for practice dataset.
s8,TV Show,Lupin,,"Chris Hemsworth, Pedro Pascal",South Africa,June 16 2020,2019,TV-MA,5 Seasons,International TV Shows,Sample Netflix content description for practice dataset.
s9,TV Show,Wednesday,,"Henry Cavill, Chris Hemsworth",Canada,February 12 2018,2015,TV-MA,2 Seasons,Dramas,Sample Netflix content description for practice dataset.
s10,TV Show,Lupin,,"William Zabka, Melissa McCarthy",Spain,January 27 2022,2022,R,1 Seasons,Sci-Fi & Fantasy,Sample Netflix content description for practice dataset.
s11,TV Show,The Witcher,,"William Zabka, Pedro Pascal",United States,February 27 2016,2015,PG,2 Seasons,Documentaries,Sample Netflix content description for practice dataset.
s12,TV Show,Bridgerton,,"Pedro Pascal, Chris Hemsworth",India,November 25 2019,2018,TV-14,1 Seasons,Dramas,Sample Netflix content description for practice dataset.
s13,TV Show,Stranger Things,,"Henry Cavill, Millie Bobby Brown",Spain,April 08 2022,2017,TV-MA,4 Seasons,International TV Shows,Sample Netflix content description for practice dataset.
s14,Movie,Army of Thieves,Matthias Schweighofer,"Melissa McCarthy, Millie Bobby Brown",Canada,January 04 2021,2019,TV-MA,115 min,Comedies,Sample Netflix content description for practice dataset.
s15,Movie,The Old Guard,Gina Prince-Bythewood,"Millie Bobby Brown, Melissa McCarthy",Canada,March 27 2016,2023,PG,93 min,Documentaries,Sample Netflix content description for practice dataset.
s16,TV Show,Cobra Kai,,"Robert De Niro, Melissa McCarthy",South Africa,January 29 2018,2022,TV-MA,2 Seasons,Dramas,Sample Netflix content description for practice dataset.
s17,TV Show,Wednesday,,"Melissa McCarthy, Henry Cavill",United States,February 11 2022,2017,TV-14,4 Seasons,Dramas,Sample Netflix content description for practice dataset.
s18,Movie,Glass Onion,Martin Scorsese,"Melissa McCarthy, Robert De Niro",United States,April 06 2022,2022,R,112 min,Action & Adventure,Sample Netflix content description for practice dataset.
s19,TV Show,Blood & Water,,"Robert De Niro, Henry Cavill",South Africa,September 06 2020,2019,PG-13,3 Seasons,Action,Sample Netflix content description for practice dataset.
s20,Movie,The Starling,Theodore Melfi,"Emma Stone, Henry Cavill",United Kingdom,April 04 2018,2018,TV-MA,81 min,Action & Adventure,Sample Netflix content description for practice dataset.
s21,Movie,Extraction,Gina Prince-Bythewood,"Pedro Pascal, Chris Hemsworth",Germany,January 03 2021,2018,TV-14,119 min,Dramas,Sample Netflix content description for practice dataset.
s22,Movie,The Irishman,Matthias Schweighofer,"Chris Hemsworth, Ralph Macchio",Spain,June 13 2021,2022,TV-MA,146 min,International TV Shows,Sample Netflix content description for practice dataset.
s23,TV Show,Lupin,,"Emma Stone, Ralph Macchio",Germany,September 15 2016,2018,TV-MA,5 Seasons,International TV Shows,Sample Netflix content description for practice dataset.
s24,TV Show,Cobra Kai,,"Emma Stone, Robert De Niro",India,October 10 2022,2015,TV-14,6 Seasons,Action & Adventure,Sample Netflix content description for practice dataset.
s25,Movie,The Irishman,Rawson Marshall Thurber,"Robert De Niro, Emma Stone",United Kingdom,July 12 2017,2016,TV-14,101 min,International TV Shows,Sample Netflix content description for practice dataset.
s26,Movie,Enola Holmes,Rawson Marshall Thurber,"Emma Stone, William Zabka",United States,November 08 2019,2021,PG,98 min,Action & Adventure,Sample Netflix content description for practice dataset.
s27,TV Show,Bridgerton,,"Melissa McCarthy, Henry Cavill",United States,June 04 2019,2016,TV-14,3 Seasons,Action,Sample Netflix content description for practice dataset.
s28,TV Show,Lupin,,"Emma Stone, Ralph Macchio",Germany,June 24 2021,2015,PG-13,3 Seasons,Comedies,Sample Netflix content description for practice dataset.
s29,TV Show,Narcos,,"Ralph Macchio, Pedro Pascal",India,July 28 2022,2024,R,3 Seasons,Dramas,Sample Netflix content description for practice dataset.
